hid1,hid2,hero1,hero2,win_no,lose_no,game_no,win_rate
18,93,Sven,Slark,1.0,1.0,2.0,0.5
83,128,Treant Protector,Snapfire,2.0,2.0,4.0,0.5
19,37,Tiny,Warlock,1.0,1.0,2.0,0.5
11,95,Shadow Fiend,Troll Warlord,2.0,2.0,4.0,0.5
17,103,Storm Spirit,Elder Titan,1.0,1.0,2.0,0.5
19,33,Tiny,Enigma,2.0,2.0,4.0,0.5
19,27,Tiny,Shadow Shaman,2.0,2.0,4.0,0.5
17,112,Storm Spirit,Winter Wyvern,3.0,3.0,6.0,0.5
17,120,Storm Spirit,Pangolier,1.0,1.0,2.0,0.5
34,89,Tinker,Naga Siren,2.0,2.0,4.0,0.5
18,128,Sven,Snapfire,1.0,1.0,2.0,0.5
17,126,Storm Spirit,Void Spirit,1.0,1.0,2.0,0.5
17,128,Storm Spirit,Snapfire,3.0,3.0,6.0,0.5
83,120,Treant Protector,Pangolier,3.0,3.0,6.0,0.5
18,120,Sven,Pangolier,2.0,2.0,4.0,0.5
17,129,Storm Spirit,Mars,2.0,2.0,4.0,0.5
34,94,Tinker,Medusa,3.0,3.0,6.0,0.5
34,96,Tinker,Centaur Warrunner,4.0,4.0,8.0,0.5
18,108,Sven,Underlord,1.0,1.0,2.0,0.5
94,98,Medusa,Timbersaw,3.0,3.0,6.0,0.5
99,135,Bristleback,Dawnbreaker,1.0,1.0,2.0,0.5
34,102,Tinker,Abaddon,1.0,1.0,2.0,0.5
18,102,Sven,Abaddon,1.0,1.0,2.0,0.5
18,99,Sven,Bristleback,2.0,2.0,4.0,0.5
83,111,Treant Protector,Oracle,1.0,1.0,2.0,0.5
34,111,Tinker,Oracle,1.0,1.0,2.0,0.5
99,110,Bristleback,Phoenix,3.0,3.0,6.0,0.5
19,64,Tiny,Jakiro,1.0,1.0,2.0,0.5
32,126,Riki,Void Spirit,1.0,1.0,2.0,0.5
12,75,Phantom Lancer,Silencer,3.0,3.0,6.0,0.5
20,50,Vengeful Spirit,Dazzle,2.0,2.0,4.0,0.5
12,62,Phantom Lancer,Bounty Hunter,1.0,1.0,2.0,0.5
92,110,Visage,Phoenix,1.0,1.0,2.0,0.5
92,113,Visage,Arc Warden,1.0,1.0,2.0,0.5
95,120,Troll Warlord,Pangolier,1.0,1.0,2.0,0.5
33,42,Enigma,Wraith King,3.0,3.0,6.0,0.5
32,110,Riki,Phoenix,1.0,1.0,2.0,0.5
16,136,Sand King,Marci,2.0,2.0,4.0,0.5
12,72,Phantom Lancer,Gyrocopter,2.0,2.0,4.0,0.5
33,57,Enigma,Omniknight,1.0,1.0,2.0,0.5
20,88,Vengeful Spirit,Nyx Assassin,1.0,1.0,2.0,0.5
84,102,Ogre Magi,Abaddon,1.0,1.0,2.0,0.5
32,121,Riki,Grimstroke,2.0,2.0,4.0,0.5
20,107,Vengeful Spirit,Earth Spirit,1.0,1.0,2.0,0.5
92,96,Visage,Centaur Warrunner,1.0,1.0,2.0,0.5
12,59,Phantom Lancer,Huskar,2.0,2.0,4.0,0.5
93,103,Slark,Elder Titan,1.0,1.0,2.0,0.5
20,60,Vengeful Spirit,Night Stalker,1.0,1.0,2.0,0.5
33,54,Enigma,Lifestealer,2.0,2.0,4.0,0.5
84,105,Ogre Magi,Techies,1.0,1.0,2.0,0.5
32,136,Riki,Marci,1.0,1.0,2.0,0.5
32,106,Riki,Ember Spirit,2.0,2.0,4.0,0.5
32,135,Riki,Dawnbreaker,2.0,2.0,4.0,0.5
12,78,Phantom Lancer,Brewmaster,1.0,1.0,2.0,0.5
95,114,Troll Warlord,Monkey King,1.0,1.0,2.0,0.5
12,73,Phantom Lancer,Alchemist,1.0,1.0,2.0,0.5
20,96,Vengeful Spirit,Centaur Warrunner,1.0,1.0,2.0,0.5
20,101,Vengeful Spirit,Skywrath Mage,1.0,1.0,2.0,0.5
32,120,Riki,Pangolier,1.0,1.0,2.0,0.5
17,42,Storm Spirit,Wraith King,4.0,4.0,8.0,0.5
12,79,Phantom Lancer,Shadow Demon,1.0,1.0,2.0,0.5
20,84,Vengeful Spirit,Ogre Magi,3.0,3.0,6.0,0.5
20,52,Vengeful Spirit,Leshrac,1.0,1.0,2.0,0.5
17,37,Storm Spirit,Warlock,1.0,1.0,2.0,0.5
26,104,Lion,Legion Commander,17.0,18.0,35.0,0.4857142857142857
44,64,Phantom Assassin,Jakiro,14.0,15.0,29.0,0.4827586206896552
44,71,Phantom Assassin,Spirit Breaker,13.0,14.0,27.0,0.48148148148148145
14,71,Pudge,Spirit Breaker,13.0,14.0,27.0,0.48148148148148145
42,84,Wraith King,Ogre Magi,12.0,13.0,25.0,0.48
30,42,Witch Doctor,Wraith King,12.0,13.0,25.0,0.48
26,35,Lion,Sniper,11.0,12.0,23.0,0.4782608695652174
26,76,Lion,Outworld Devourer,10.0,11.0,21.0,0.47619047619047616
36,84,Necrophos,Ogre Magi,9.0,10.0,19.0,0.47368421052631576
26,54,Lion,Lifestealer,9.0,10.0,19.0,0.47368421052631576
5,74,Crystal Maiden,Invoker,9.0,10.0,19.0,0.47368421052631576
8,64,Juggernaut,Jakiro,9.0,10.0,19.0,0.47368421052631576
1,26,Anti-Mage,Lion,17.0,19.0,36.0,0.4722222222222222
1,74,Anti-Mage,Invoker,8.0,9.0,17.0,0.47058823529411764
8,106,Juggernaut,Ember Spirit,8.0,9.0,17.0,0.47058823529411764
27,35,Shadow Shaman,Sniper,8.0,9.0,17.0,0.47058823529411764
29,39,Tidehunter,Queen of Pain,8.0,9.0,17.0,0.47058823529411764
71,104,Spirit Breaker,Legion Commander,8.0,9.0,17.0,0.47058823529411764
21,39,Windranger,Queen of Pain,8.0,9.0,17.0,0.47058823529411764
48,74,Luna,Invoker,8.0,9.0,17.0,0.47058823529411764
8,40,Juggernaut,Venomancer,8.0,9.0,17.0,0.47058823529411764
7,74,Earthshaker,Invoker,8.0,9.0,17.0,0.47058823529411764
71,87,Spirit Breaker,Disruptor,8.0,9.0,17.0,0.47058823529411764
21,74,Windranger,Invoker,7.0,8.0,15.0,0.4666666666666667
64,99,Jakiro,Bristleback,7.0,8.0,15.0,0.4666666666666667
5,17,Crystal Maiden,Storm Spirit,7.0,8.0,15.0,0.4666666666666667
6,128,Drow Ranger,Snapfire,7.0,8.0,15.0,0.4666666666666667
14,106,Pudge,Ember Spirit,7.0,8.0,15.0,0.4666666666666667
14,136,Pudge,Marci,7.0,8.0,15.0,0.4666666666666667
74,129,Invoker,Mars,7.0,8.0,15.0,0.4666666666666667
62,94,Bounty Hunter,Medusa,7.0,8.0,15.0,0.4666666666666667
104,136,Legion Commander,Marci,7.0,8.0,15.0,0.4666666666666667
34,41,Tinker,Faceless Void,6.0,7.0,13.0,0.46153846153846156
6,35,Drow Ranger,Sniper,6.0,7.0,13.0,0.46153846153846156
41,99,Faceless Void,Bristleback,6.0,7.0,13.0,0.46153846153846156
6,101,Drow Ranger,Skywrath Mage,6.0,7.0,13.0,0.46153846153846156
39,128,Queen of Pain,Snapfire,6.0,7.0,13.0,0.46153846153846156
34,104,Tinker,Legion Commander,6.0,7.0,13.0,0.46153846153846156
39,72,Queen of Pain,Gyrocopter,6.0,7.0,13.0,0.46153846153846156
44,129,Phantom Assassin,Mars,6.0,7.0,13.0,0.46153846153846156
27,99,Shadow Shaman,Bristleback,6.0,7.0,13.0,0.46153846153846156
72,104,Gyrocopter,Legion Commander,6.0,7.0,13.0,0.46153846153846156
34,84,Tinker,Ogre Magi,6.0,7.0,13.0,0.46153846153846156
2,64,Axe,Jakiro,6.0,7.0,13.0,0.46153846153846156
84,121,Ogre Magi,Grimstroke,6.0,7.0,13.0,0.46153846153846156
40,41,Venomancer,Faceless Void,6.0,7.0,13.0,0.46153846153846156
7,39,Earthshaker,Queen of Pain,6.0,7.0,13.0,0.46153846153846156
6,126,Drow Ranger,Void Spirit,6.0,7.0,13.0,0.46153846153846156
71,112,Spirit Breaker,Winter Wyvern,6.0,7.0,13.0,0.46153846153846156
39,44,Queen of Pain,Phantom Assassin,11.0,13.0,24.0,0.4583333333333333
35,44,Sniper,Phantom Assassin,11.0,13.0,24.0,0.4583333333333333
76,104,Outworld Devourer,Legion Commander,11.0,13.0,24.0,0.4583333333333333
35,62,Sniper,Bounty Hunter,11.0,13.0,24.0,0.4583333333333333
106,136,Ember Spirit,Marci,5.0,6.0,11.0,0.45454545454545453
1,11,Anti-Mage,Shadow Fiend,5.0,6.0,11.0,0.45454545454545453
46,71,Templar Assassin,Spirit Breaker,5.0,6.0,11.0,0.45454545454545453
26,60,Lion,Night Stalker,5.0,6.0,11.0,0.45454545454545453
9,36,Mirana,Necrophos,5.0,6.0,11.0,0.45454545454545453
11,44,Shadow Fiend,Phantom Assassin,10.0,12.0,22.0,0.45454545454545453
22,39,Zeus,Queen of Pain,5.0,6.0,11.0,0.45454545454545453
48,84,Luna,Ogre Magi,5.0,6.0,11.0,0.45454545454545453
27,76,Shadow Shaman,Outworld Devourer,5.0,6.0,11.0,0.45454545454545453
8,35,Juggernaut,Sniper,10.0,12.0,22.0,0.45454545454545453
84,108,Ogre Magi,Underlord,5.0,6.0,11.0,0.45454545454545453
1,36,Anti-Mage,Necrophos,5.0,6.0,11.0,0.45454545454545453
27,106,Shadow Shaman,Ember Spirit,5.0,6.0,11.0,0.45454545454545453
44,86,Phantom Assassin,Rubick,10.0,12.0,22.0,0.45454545454545453
71,81,Spirit Breaker,Chaos Knight,5.0,6.0,11.0,0.45454545454545453
39,70,Queen of Pain,Ursa,5.0,6.0,11.0,0.45454545454545453
104,106,Legion Commander,Ember Spirit,5.0,6.0,11.0,0.45454545454545453
44,99,Phantom Assassin,Bristleback,5.0,6.0,11.0,0.45454545454545453
35,129,Sniper,Mars,5.0,6.0,11.0,0.45454545454545453
84,123,Ogre Magi,Hoodwink,5.0,6.0,11.0,0.45454545454545453
8,21,Juggernaut,Windranger,9.0,11.0,20.0,0.45
14,99,Pudge,Bristleback,9.0,11.0,20.0,0.45
83,84,Treant Protector,Ogre Magi,4.0,5.0,9.0,0.4444444444444444
11,29,Shadow Fiend,Tidehunter,4.0,5.0,9.0,0.4444444444444444
5,62,Crystal Maiden,Bounty Hunter,4.0,5.0,9.0,0.4444444444444444
41,60,Faceless Void,Night Stalker,4.0,5.0,9.0,0.4444444444444444
35,63,Sniper,Weaver,4.0,5.0,9.0,0.4444444444444444
47,74,Viper,Invoker,4.0,5.0,9.0,0.4444444444444444
9,86,Mirana,Rubick,4.0,5.0,9.0,0.4444444444444444
64,128,Jakiro,Snapfire,4.0,5.0,9.0,0.4444444444444444
71,105,Spirit Breaker,Techies,4.0,5.0,9.0,0.4444444444444444
59,99,Huskar,Bristleback,4.0,5.0,9.0,0.4444444444444444
2,71,Axe,Spirit Breaker,4.0,5.0,9.0,0.4444444444444444
68,74,Ancient Apparition,Invoker,4.0,5.0,9.0,0.4444444444444444
1,106,Anti-Mage,Ember Spirit,4.0,5.0,9.0,0.4444444444444444
39,119,Queen of Pain,Dark Willow,4.0,5.0,9.0,0.4444444444444444
26,50,Lion,Dazzle,4.0,5.0,9.0,0.4444444444444444
20,104,Vengeful Spirit,Legion Commander,4.0,5.0,9.0,0.4444444444444444
28,74,Slardar,Invoker,4.0,5.0,9.0,0.4444444444444444
14,18,Pudge,Sven,4.0,5.0,9.0,0.4444444444444444
106,114,Ember Spirit,Monkey King,4.0,5.0,9.0,0.4444444444444444
7,13,Earthshaker,Puck,4.0,5.0,9.0,0.4444444444444444
84,100,Ogre Magi,Tusk,4.0,5.0,9.0,0.4444444444444444
75,97,Silencer,Magnus,4.0,5.0,9.0,0.4444444444444444
84,97,Ogre Magi,Magnus,4.0,5.0,9.0,0.4444444444444444
5,93,Crystal Maiden,Slark,4.0,5.0,9.0,0.4444444444444444
7,94,Earthshaker,Medusa,4.0,5.0,9.0,0.4444444444444444
81,84,Chaos Knight,Ogre Magi,4.0,5.0,9.0,0.4444444444444444
27,47,Shadow Shaman,Viper,4.0,5.0,9.0,0.4444444444444444
25,84,Lina,Ogre Magi,4.0,5.0,9.0,0.4444444444444444
2,63,Axe,Weaver,4.0,5.0,9.0,0.4444444444444444
7,99,Earthshaker,Bristleback,4.0,5.0,9.0,0.4444444444444444
17,63,Storm Spirit,Weaver,4.0,5.0,9.0,0.4444444444444444
48,128,Luna,Snapfire,4.0,5.0,9.0,0.4444444444444444
2,14,Axe,Pudge,8.0,10.0,18.0,0.4444444444444444
35,36,Sniper,Necrophos,4.0,5.0,9.0,0.4444444444444444
11,100,Shadow Fiend,Tusk,4.0,5.0,9.0,0.4444444444444444
49,70,Dragon Knight,Ursa,4.0,5.0,9.0,0.4444444444444444
11,74,Shadow Fiend,Invoker,4.0,5.0,9.0,0.4444444444444444
7,106,Earthshaker,Ember Spirit,4.0,5.0,9.0,0.4444444444444444
21,71,Windranger,Spirit Breaker,8.0,10.0,18.0,0.4444444444444444
34,68,Tinker,Ancient Apparition,4.0,5.0,9.0,0.4444444444444444
42,72,Wraith King,Gyrocopter,4.0,5.0,9.0,0.4444444444444444
1,101,Anti-Mage,Skywrath Mage,4.0,5.0,9.0,0.4444444444444444
6,23,Drow Ranger,Kunkka,8.0,10.0,18.0,0.4444444444444444
8,63,Juggernaut,Weaver,4.0,5.0,9.0,0.4444444444444444
25,26,Lina,Lion,8.0,10.0,18.0,0.4444444444444444
87,114,Disruptor,Monkey King,4.0,5.0,9.0,0.4444444444444444
39,81,Queen of Pain,Chaos Knight,4.0,5.0,9.0,0.4444444444444444
21,50,Windranger,Dazzle,4.0,5.0,9.0,0.4444444444444444
8,30,Juggernaut,Witch Doctor,11.0,14.0,25.0,0.44
27,104,Shadow Shaman,Legion Commander,14.0,18.0,32.0,0.4375
8,101,Juggernaut,Skywrath Mage,7.0,9.0,16.0,0.4375
35,54,Sniper,Lifestealer,7.0,9.0,16.0,0.4375
44,83,Phantom Assassin,Treant Protector,7.0,9.0,16.0,0.4375
8,128,Juggernaut,Snapfire,7.0,9.0,16.0,0.4375
26,97,Lion,Magnus,7.0,9.0,16.0,0.4375
6,86,Drow Ranger,Rubick,7.0,9.0,16.0,0.4375
76,93,Outworld Devourer,Slark,7.0,9.0,16.0,0.4375
101,104,Skywrath Mage,Legion Commander,10.0,13.0,23.0,0.43478260869565216
14,30,Pudge,Witch Doctor,10.0,13.0,23.0,0.43478260869565216
41,74,Faceless Void,Invoker,13.0,17.0,30.0,0.43333333333333335
35,99,Sniper,Bristleback,13.0,17.0,30.0,0.43333333333333335
25,108,Lina,Underlord,3.0,4.0,7.0,0.42857142857142855
25,94,Lina,Medusa,6.0,8.0,14.0,0.42857142857142855
75,114,Silencer,Monkey King,3.0,4.0,7.0,0.42857142857142855
7,97,Earthshaker,Magnus,3.0,4.0,7.0,0.42857142857142855
48,107,Luna,Earth Spirit,3.0,4.0,7.0,0.42857142857142855
39,135,Queen of Pain,Dawnbreaker,3.0,4.0,7.0,0.42857142857142855
28,123,Slardar,Hoodwink,3.0,4.0,7.0,0.42857142857142855
39,98,Queen of Pain,Timbersaw,3.0,4.0,7.0,0.42857142857142855
11,47,Shadow Fiend,Viper,3.0,4.0,7.0,0.42857142857142855
7,87,Earthshaker,Disruptor,3.0,4.0,7.0,0.42857142857142855
74,100,Invoker,Tusk,3.0,4.0,7.0,0.42857142857142855
27,62,Shadow Shaman,Bounty Hunter,3.0,4.0,7.0,0.42857142857142855
44,45,Phantom Assassin,Pugna,3.0,4.0,7.0,0.42857142857142855
18,84,Sven,Ogre Magi,3.0,4.0,7.0,0.42857142857142855
94,121,Medusa,Grimstroke,3.0,4.0,7.0,0.42857142857142855
14,28,Pudge,Slardar,6.0,8.0,14.0,0.42857142857142855
35,128,Sniper,Snapfire,3.0,4.0,7.0,0.42857142857142855
27,93,Shadow Shaman,Slark,6.0,8.0,14.0,0.42857142857142855
11,53,Shadow Fiend,Nature's Prophet,3.0,4.0,7.0,0.42857142857142855
86,126,Rubick,Void Spirit,6.0,8.0,14.0,0.42857142857142855
67,101,Spectre,Skywrath Mage,3.0,4.0,7.0,0.42857142857142855
44,85,Phantom Assassin,Undying,3.0,4.0,7.0,0.42857142857142855
50,129,Dazzle,Mars,3.0,4.0,7.0,0.42857142857142855
7,67,Earthshaker,Spectre,3.0,4.0,7.0,0.42857142857142855
67,123,Spectre,Hoodwink,3.0,4.0,7.0,0.42857142857142855
14,105,Pudge,Techies,6.0,8.0,14.0,0.42857142857142855
11,87,Shadow Fiend,Disruptor,3.0,4.0,7.0,0.42857142857142855
8,22,Juggernaut,Zeus,9.0,12.0,21.0,0.42857142857142855
44,120,Phantom Assassin,Pangolier,3.0,4.0,7.0,0.42857142857142855
75,119,Silencer,Dark Willow,3.0,4.0,7.0,0.42857142857142855
14,62,Pudge,Bounty Hunter,6.0,8.0,14.0,0.42857142857142855
6,74,Drow Ranger,Invoker,9.0,12.0,21.0,0.42857142857142855
50,54,Dazzle,Lifestealer,3.0,4.0,7.0,0.42857142857142855
47,62,Viper,Bounty Hunter,3.0,4.0,7.0,0.42857142857142855
14,20,Pudge,Vengeful Spirit,3.0,4.0,7.0,0.42857142857142855
2,100,Axe,Tusk,3.0,4.0,7.0,0.42857142857142855
6,20,Drow Ranger,Vengeful Spirit,3.0,4.0,7.0,0.42857142857142855
44,123,Phantom Assassin,Hoodwink,3.0,4.0,7.0,0.42857142857142855
22,44,Zeus,Phantom Assassin,6.0,8.0,14.0,0.42857142857142855
90,99,Keeper of the Light,Bristleback,3.0,4.0,7.0,0.42857142857142855
8,114,Juggernaut,Monkey King,3.0,4.0,7.0,0.42857142857142855
22,120,Zeus,Pangolier,3.0,4.0,7.0,0.42857142857142855
40,70,Venomancer,Ursa,3.0,4.0,7.0,0.42857142857142855
64,136,Jakiro,Marci,3.0,4.0,7.0,0.42857142857142855
5,12,Crystal Maiden,Phantom Lancer,3.0,4.0,7.0,0.42857142857142855
42,120,Wraith King,Pangolier,3.0,4.0,7.0,0.42857142857142855
23,79,Kunkka,Shadow Demon,3.0,4.0,7.0,0.42857142857142855
70,97,Ursa,Magnus,3.0,4.0,7.0,0.42857142857142855
23,76,Kunkka,Outworld Devourer,3.0,4.0,7.0,0.42857142857142855
12,76,Phantom Lancer,Outworld Devourer,3.0,4.0,7.0,0.42857142857142855
23,75,Kunkka,Silencer,3.0,4.0,7.0,0.42857142857142855
8,75,Juggernaut,Silencer,6.0,8.0,14.0,0.42857142857142855
16,44,Sand King,Phantom Assassin,3.0,4.0,7.0,0.42857142857142855
40,106,Venomancer,Ember Spirit,3.0,4.0,7.0,0.42857142857142855
64,102,Jakiro,Abaddon,3.0,4.0,7.0,0.42857142857142855
23,74,Kunkka,Invoker,6.0,8.0,14.0,0.42857142857142855
17,39,Storm Spirit,Queen of Pain,3.0,4.0,7.0,0.42857142857142855
23,97,Kunkka,Magnus,3.0,4.0,7.0,0.42857142857142855
21,93,Windranger,Slark,6.0,8.0,14.0,0.42857142857142855
5,10,Crystal Maiden,Morphling,3.0,4.0,7.0,0.42857142857142855
121,126,Grimstroke,Void Spirit,3.0,4.0,7.0,0.42857142857142855
9,48,Mirana,Luna,3.0,4.0,7.0,0.42857142857142855
19,71,Tiny,Spirit Breaker,3.0,4.0,7.0,0.42857142857142855
42,102,Wraith King,Abaddon,3.0,4.0,7.0,0.42857142857142855
16,17,Sand King,Storm Spirit,3.0,4.0,7.0,0.42857142857142855
58,104,Enchantress,Legion Commander,3.0,4.0,7.0,0.42857142857142855
12,39,Phantom Lancer,Queen of Pain,6.0,8.0,14.0,0.42857142857142855
84,86,Ogre Magi,Rubick,6.0,8.0,14.0,0.42857142857142855
30,76,Witch Doctor,Outworld Devourer,6.0,8.0,14.0,0.42857142857142855
42,105,Wraith King,Techies,3.0,4.0,7.0,0.42857142857142855
30,114,Witch Doctor,Monkey King,3.0,4.0,7.0,0.42857142857142855
42,106,Wraith King,Ember Spirit,3.0,4.0,7.0,0.42857142857142855
8,105,Juggernaut,Techies,3.0,4.0,7.0,0.42857142857142855
64,104,Jakiro,Legion Commander,12.0,16.0,28.0,0.42857142857142855
64,106,Jakiro,Ember Spirit,3.0,4.0,7.0,0.42857142857142855
36,129,Necrophos,Mars,3.0,4.0,7.0,0.42857142857142855
23,121,Kunkka,Grimstroke,3.0,4.0,7.0,0.42857142857142855
2,9,Axe,Mirana,6.0,8.0,14.0,0.42857142857142855
97,105,Magnus,Techies,3.0,4.0,7.0,0.42857142857142855
93,107,Slark,Earth Spirit,3.0,4.0,7.0,0.42857142857142855
60,71,Night Stalker,Spirit Breaker,3.0,4.0,7.0,0.42857142857142855
41,49,Faceless Void,Dragon Knight,3.0,4.0,7.0,0.42857142857142855
8,120,Juggernaut,Pangolier,3.0,4.0,7.0,0.42857142857142855
19,35,Tiny,Sniper,3.0,4.0,7.0,0.42857142857142855
73,75,Alchemist,Silencer,3.0,4.0,7.0,0.42857142857142855
5,16,Crystal Maiden,Sand King,3.0,4.0,7.0,0.42857142857142855
16,70,Sand King,Ursa,3.0,4.0,7.0,0.42857142857142855
13,68,Puck,Ancient Apparition,3.0,4.0,7.0,0.42857142857142855
25,63,Lina,Weaver,3.0,4.0,7.0,0.42857142857142855
31,106,Lich,Ember Spirit,3.0,4.0,7.0,0.42857142857142855
4,5,Bloodseeker,Crystal Maiden,3.0,4.0,7.0,0.42857142857142855
70,83,Ursa,Treant Protector,3.0,4.0,7.0,0.42857142857142855
54,129,Lifestealer,Mars,3.0,4.0,7.0,0.42857142857142855
39,49,Queen of Pain,Dragon Knight,3.0,4.0,7.0,0.42857142857142855
17,51,Storm Spirit,Clockwerk,3.0,4.0,7.0,0.42857142857142855
22,136,Zeus,Marci,3.0,4.0,7.0,0.42857142857142855
59,112,Huskar,Winter Wyvern,3.0,4.0,7.0,0.42857142857142855
23,42,Kunkka,Wraith King,6.0,8.0,14.0,0.42857142857142855
23,64,Kunkka,Jakiro,3.0,4.0,7.0,0.42857142857142855
13,50,Puck,Dazzle,3.0,4.0,7.0,0.42857142857142855
30,49,Witch Doctor,Dragon Knight,3.0,4.0,7.0,0.42857142857142855
30,47,Witch Doctor,Viper,3.0,4.0,7.0,0.42857142857142855
10,101,Morphling,Skywrath Mage,3.0,4.0,7.0,0.42857142857142855
72,84,Gyrocopter,Ogre Magi,3.0,4.0,7.0,0.42857142857142855
23,62,Kunkka,Bounty Hunter,3.0,4.0,7.0,0.42857142857142855
35,71,Sniper,Spirit Breaker,8.0,11.0,19.0,0.42105263157894735
26,86,Lion,Rubick,8.0,11.0,19.0,0.42105263157894735
39,86,Queen of Pain,Rubick,8.0,11.0,19.0,0.42105263157894735
26,99,Lion,Bristleback,8.0,11.0,19.0,0.42105263157894735
27,81,Shadow Shaman,Chaos Knight,5.0,7.0,12.0,0.4166666666666667
17,64,Storm Spirit,Jakiro,5.0,7.0,12.0,0.4166666666666667
42,68,Wraith King,Ancient Apparition,5.0,7.0,12.0,0.4166666666666667
21,85,Windranger,Undying,5.0,7.0,12.0,0.4166666666666667
22,121,Zeus,Grimstroke,5.0,7.0,12.0,0.4166666666666667
36,47,Necrophos,Viper,5.0,7.0,12.0,0.4166666666666667
6,29,Drow Ranger,Tidehunter,5.0,7.0,12.0,0.4166666666666667
9,129,Mirana,Mars,5.0,7.0,12.0,0.4166666666666667
28,35,Slardar,Sniper,5.0,7.0,12.0,0.4166666666666667
74,83,Invoker,Treant Protector,5.0,7.0,12.0,0.4166666666666667
6,136,Drow Ranger,Marci,5.0,7.0,12.0,0.4166666666666667
6,21,Drow Ranger,Windranger,5.0,7.0,12.0,0.4166666666666667
5,70,Crystal Maiden,Ursa,5.0,7.0,12.0,0.4166666666666667
1,35,Anti-Mage,Sniper,5.0,7.0,12.0,0.4166666666666667
12,84,Phantom Lancer,Ogre Magi,5.0,7.0,12.0,0.4166666666666667
104,126,Legion Commander,Void Spirit,5.0,7.0,12.0,0.4166666666666667
51,74,Clockwerk,Invoker,5.0,7.0,12.0,0.4166666666666667
8,76,Juggernaut,Outworld Devourer,10.0,14.0,24.0,0.4166666666666667
27,63,Shadow Shaman,Weaver,5.0,7.0,12.0,0.4166666666666667
13,27,Puck,Shadow Shaman,5.0,7.0,12.0,0.4166666666666667
76,87,Outworld Devourer,Disruptor,5.0,7.0,12.0,0.4166666666666667
10,104,Morphling,Legion Commander,7.0,10.0,17.0,0.4117647058823529
21,26,Windranger,Lion,9.0,13.0,22.0,0.4090909090909091
14,25,Pudge,Lina,9.0,13.0,22.0,0.4090909090909091
9,74,Mirana,Invoker,9.0,13.0,22.0,0.4090909090909091
26,74,Lion,Invoker,11.0,16.0,27.0,0.4074074074074074
21,120,Windranger,Pangolier,2.0,3.0,5.0,0.4
93,98,Slark,Timbersaw,2.0,3.0,5.0,0.4
93,101,Slark,Skywrath Mage,2.0,3.0,5.0,0.4
48,71,Luna,Spirit Breaker,8.0,12.0,20.0,0.4
64,72,Jakiro,Gyrocopter,2.0,3.0,5.0,0.4
56,83,Clinkz,Treant Protector,2.0,3.0,5.0,0.4
20,48,Vengeful Spirit,Luna,2.0,3.0,5.0,0.4
63,128,Weaver,Snapfire,2.0,3.0,5.0,0.4
20,21,Vengeful Spirit,Windranger,2.0,3.0,5.0,0.4
16,46,Sand King,Templar Assassin,2.0,3.0,5.0,0.4
1,15,Anti-Mage,Razor,2.0,3.0,5.0,0.4
75,106,Silencer,Ember Spirit,2.0,3.0,5.0,0.4
90,128,Keeper of the Light,Snapfire,2.0,3.0,5.0,0.4
62,68,Bounty Hunter,Ancient Apparition,2.0,3.0,5.0,0.4
95,104,Troll Warlord,Legion Commander,2.0,3.0,5.0,0.4
22,62,Zeus,Bounty Hunter,2.0,3.0,5.0,0.4
18,39,Sven,Queen of Pain,2.0,3.0,5.0,0.4
28,42,Slardar,Wraith King,2.0,3.0,5.0,0.4
47,68,Viper,Ancient Apparition,4.0,6.0,10.0,0.4
47,59,Viper,Huskar,2.0,3.0,5.0,0.4
2,54,Axe,Lifestealer,2.0,3.0,5.0,0.4
68,123,Ancient Apparition,Hoodwink,2.0,3.0,5.0,0.4
4,30,Bloodseeker,Witch Doctor,2.0,3.0,5.0,0.4
4,39,Bloodseeker,Queen of Pain,2.0,3.0,5.0,0.4
14,65,Pudge,Batrider,2.0,3.0,5.0,0.4
47,135,Viper,Dawnbreaker,2.0,3.0,5.0,0.4
47,136,Viper,Marci,4.0,6.0,10.0,0.4
70,126,Ursa,Void Spirit,4.0,6.0,10.0,0.4
114,136,Monkey King,Marci,4.0,6.0,10.0,0.4
71,114,Spirit Breaker,Monkey King,2.0,3.0,5.0,0.4
21,23,Windranger,Kunkka,4.0,6.0,10.0,0.4
18,33,Sven,Enigma,2.0,3.0,5.0,0.4
2,17,Axe,Storm Spirit,4.0,6.0,10.0,0.4
110,126,Phoenix,Void Spirit,2.0,3.0,5.0,0.4
64,81,Jakiro,Chaos Knight,4.0,6.0,10.0,0.4
2,13,Axe,Puck,2.0,3.0,5.0,0.4
22,100,Zeus,Tusk,2.0,3.0,5.0,0.4
21,123,Windranger,Hoodwink,2.0,3.0,5.0,0.4
6,129,Drow Ranger,Mars,4.0,6.0,10.0,0.4
22,41,Zeus,Faceless Void,4.0,6.0,10.0,0.4
114,135,Monkey King,Dawnbreaker,2.0,3.0,5.0,0.4
65,86,Batrider,Rubick,2.0,3.0,5.0,0.4
23,136,Kunkka,Marci,2.0,3.0,5.0,0.4
5,64,Crystal Maiden,Jakiro,2.0,3.0,5.0,0.4
23,119,Kunkka,Dark Willow,2.0,3.0,5.0,0.4
17,94,Storm Spirit,Medusa,2.0,3.0,5.0,0.4
106,112,Ember Spirit,Winter Wyvern,2.0,3.0,5.0,0.4
5,53,Crystal Maiden,Nature's Prophet,2.0,3.0,5.0,0.4
